data,fornitore,area,fascia_anagrafica,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose
2020-12-27,Pfizer/BioNTech,ABR,20-29,1,1,0,1,0,0,0,1,0
2020-12-27,Pfizer/BioNTech,ABR,30-39,4,1,3,4,0,0,0,4,0
2020-12-27,Pfizer/BioNTech,ABR,40-49,7,1,6,7,0,0,0,7,0
2020-12-27,Pfizer/BioNTech,ABR,50-59,9,4,5,9,0,0,0,9,0
2020-12-27,Pfizer/BioNTech,ABR,60-69,14,10,4,13,1,0,0,14,0
2020-12-27,Pfizer/BioNTech,ABR,70-79,1,1,0,0,0,1,0,1,0
2020-12-27,Pfizer/BioNTech,ABR,80-89,1,1,0,0,0,1,0,1,0
2020-12-27,Pfizer/BioNTech,BAS,20-29,9,4,5,9,0,0,0,9,0
2020-12-27,Pfizer/BioNTech,BAS,30-39,28,10,18,27,1,0,0,28,0
2020-12-27,Pfizer/BioNTech,BAS,40-49,30,7,23,29,1,0,0,30,0
2020-12-27,Pfizer/BioNTech,BAS,50-59,26,11,15,26,0,0,0,26,0
2020-12-27,Pfizer/BioNTech,BAS,60-69,13,9,4,13,0,0,0,13,0
2020-12-27,Pfizer/BioNTech,CAL,16-19,0,0,0,0,0,0,0,0,0
2020-12-27,Pfizer/BioNTech,CAL,20-29,47,13,34,47,0,0,0,47,0
2020-12-27,Pfizer/BioNTech,CAL,30-39,44,22,22,44,0,0,0,44,0
2020-12-27,Pfizer/BioNTech,CAL,40-49,50,22,28,50,0,0,0,50,0
2020-12-27,Pfizer/BioNTech,CAL,50-59,72,46,26,71,1,0,0,72,0
2020-12-27,Pfizer/BioNTech,CAL,60-69,61,44,17,60,1,0,0,61,0
2020-12-27,Pfizer/BioNTech,CAL,70-79,0,0,0,0,0,0,0,0,0
2020-12-27,Pfizer/BioNTech,CAL,80-89,0,0,0,0,0,0,0,0,0
2020-12-27,Pfizer/BioNTech,CAL,90+,0,0,0,0,0,0,0,0,0
2020-12-27,Pfizer/BioNTech,CAM,20-29,60,27,33,59,1,0,0,60,0
2020-12-27,Pfizer/BioNTech,CAM,30-39,125,61,64,122,3,0,0,125,0
2020-12-27,Pfizer/BioNTech,CAM,40-49,167,80,87,164,3,0,0,167,0
2020-12-27,Pfizer/BioNTech,CAM,50-59,196,119,77,187,9,0,0,196,0
2020-12-27,Pfizer/BioNTech,CAM,60-69,167,130,37,167,0,0,0,167,0
2020-12-27,Pfizer/BioNTech,CAM,70-79,5,5,0,4,1,0,0,5,0
2020-12-27,Pfizer/BioNTech,EMR,20-29,138,52,86,97,40,1,0,138,0
2020-12-27,Pfizer/BioNTech,EMR,30-39,139,57,82,104,35,0,0,139,0
2020-12-27,Pfizer/BioNTech,EMR,40-49,225,80,145,156,68,1,0,225,0
2020-12-27,Pfizer/BioNTech,EMR,50-59,284,70,214,204,80,0,0,284,0
2020-12-27,Pfizer/BioNTech,EMR,60-69,152,101,51,93,56,3,0,152,0
2020-12-27,Pfizer/BioNTech,EMR,70-79,13,10,3,2,3,8,0,13,0
2020-12-27,Pfizer/BioNTech,EMR,80-89,8,2,6,0,0,8,0,8,0
2020-12-27,Pfizer/BioNTech,EMR,90+,5,0,5,0,0,5,0,5,0
2020-12-27,Pfizer/BioNTech,FVG,20-29,5,1,4,4,1,0,0,5,0
2020-12-27,Pfizer/BioNTech,FVG,30-39,16,9,7,16,0,0,0,16,0
2020-12-27,Pfizer/BioNTech,FVG,40-49,50,17,33,50,0,0,0,50,0
2020-12-27,Pfizer/BioNTech,FVG,50-59,102,58,44,100,2,0,0,102,0
2020-12-27,Pfizer/BioNTech,FVG,60-69,84,61,23,84,0,0,0,84,0
2020-12-27,Pfizer/BioNTech,FVG,70-79,5,3,2,5,0,0,0,5,0
2020-12-27,Pfizer/BioNTech,LAZ,20-29,32,16,16,32,0,0,0,32,0
2020-12-27,Pfizer/BioNTech,LAZ,30-39,40,19,21,40,0,0,0,40,0
2020-12-27,Pfizer/BioNTech,LAZ,40-49,27,10,17,27,0,0,0,27,0
2020-12-27,Pfizer/BioNTech,LAZ,50-59,28,13,15,28,0,0,0,28,0
2020-12-27,Pfizer/BioNTech,LAZ,60-69,12,8,4,12,0,0,0,12,0
2020-12-27,Pfizer/BioNTech,LIG,20-29,9,6,3,5,0,4,0,9,0
2020-12-27,Pfizer/BioNTech,LIG,30-39,24,10,14,20,0,4,0,24,0
2020-12-27,Pfizer/BioNTech,LIG,40-49,20,6,14,17,0,3,0,20,0
2020-12-27,Pfizer/BioNTech,LIG,50-59,35,16,19,30,2,3,0,35,0
2020-12-27,Pfizer/BioNTech,LIG,60-69,14,11,3,11,0,3,0,14,0
2020-12-27,Pfizer/BioNTech,LIG,70-79,5,2,3,2,0,3,0,5,0
2020-12-27,Pfizer/BioNTech,LIG,80-89,12,2,10,0,0,12,0,12,0
2020-12-27,Pfizer/BioNTech,LIG,90+,12,1,11,0,0,12,0,12,0
2020-12-27,Pfizer/BioNTech,LOM,20-29,40,18,22,23,17,0,0,40,0
2020-12-27,Pfizer/BioNTech,LOM,30-39,61,30,31,43,18,0,0,61,0
2020-12-27,Pfizer/BioNTech,LOM,40-49,137,60,77,106,31,0,0,137,0
2020-12-27,Pfizer/BioNTech,LOM,50-59,225,111,114,178,47,0,0,225,0
2020-12-27,Pfizer/BioNTech,LOM,60-69,198,157,41,155,43,0,0,198,0
2020-12-27,Pfizer/BioNTech,LOM,70-79,23,21,2,6,15,2,0,23,0
2020-12-27,Pfizer/BioNTech,LOM,80-89,10,4,6,1,0,8,1,10,0
2020-12-27,Pfizer/BioNTech,LOM,90+,2,1,1,0,0,2,0,2,0
2020-12-27,Pfizer/BioNTech,MAR,20-29,15,6,9,14,1,0,0,15,0
2020-12-27,Pfizer/BioNTech,MAR,30-39,20,5,15,20,0,0,0,20,0
2020-12-27,Pfizer/BioNTech,MAR,40-49,32,10,22,30,2,0,0,32,0
2020-12-27,Pfizer/BioNTech,MAR,50-59,35,13,22,30,5,0,0,35,0
2020-12-27,Pfizer/BioNTech,MAR,60-69,94,63,31,90,4,0,0,94,0
2020-12-27,Pfizer/BioNTech,MAR,70-79,2,0,2,0,0,2,0,2,0
2020-12-27,Pfizer/BioNTech,MAR,80-89,1,0,1,0,0,1,0,1,0
2020-12-27,Pfizer/BioNTech,MAR,90+,1,0,1,0,0,1,0,1,0
2020-12-27,Pfizer/BioNTech,MOL,20-29,4,0,4,3,1,0,0,4,0
2020-12-27,Pfizer/BioNTech,MOL,30-39,9,4,5,8,1,0,0,9,0
2020-12-27,Pfizer/BioNTech,MOL,40-49,7,4,3,7,0,0,0,7,0
2020-12-27,Pfizer/BioNTech,MOL,50-59,10,5,5,8,2,0,0,10,0
2020-12-27,Pfizer/BioNTech,MOL,60-69,4,4,0,3,0,1,0,4,0
2020-12-27,Pfizer/BioNTech,MOL,70-79,4,1,3,0,0,4,0,4,0
2020-12-27,Pfizer/BioNTech,MOL,80-89,6,0,6,0,0,6,0,6,0
2020-12-27,Pfizer/BioNTech,MOL,90+,6,2,4,0,0,6,0,6,0
2020-12-27,Pfizer/BioNTech,PAB,20-29,9,1,8,2,7,0,0,9,0
2020-12-27,Pfizer/BioNTech,PAB,30-39,20,10,10,6,14,0,0,20,0
2020-12-27,Pfizer/BioNTech,PAB,40-49,46,18,28,19,27,0,0,46,0
2020-12-27,Pfizer/BioNTech,PAB,50-59,52,25,27,19,33,0,0,52,0
2020-12-27,Pfizer/BioNTech,PAB,60-69,14,9,5,9,5,0,0,14,0
